epoch,train_loss,train_acc,val_loss,val_acc
1,0.6249389338368222,0.6303286990148237,0.4097748582006664,0.7219664886761186
2,0.3893890643320671,0.7317466163336709,0.34511876902079147,0.7573190940894863
3,0.32336136536279464,0.7689439278151183,0.3175425490426509,0.7729699871110293
4,0.27870494353102776,0.7955068594052113,0.3217702631337376,0.7869637267538206
5,0.23906541146573282,0.8175582358898812,0.30140643359627145,0.7893573927453508
